Alloy,No,Component,Fraction,a,delta,Tm,Hmix,D_Hmix,Sid,Elec_nega,D_elec_nega,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
TiZrNbMoV0.25,5,Ti Zr Nb Mo V,1 1 1 1 0.25,1.455529412,0.063163351,2414.294118,-2.602076125,2.347013854,1.52846571,1.655882353,0.297856239,4.764705882,0.8065476,1.46E+11,58.66555585,SS
Ni57.5Zr26Nb9Al7.5,4,Ni Zr Nb Al,57.5 26 9 7.5,1.36924,0.112094334,1864.39025,-42.8506,9.407681795,1.079420803,1.7088,0.249763008,7.465,2.976369433,1.43E+11,50.43352335,AM
Ni57.5Zr30Nb5Al7.5,4,Ni Zr Nb Al,57.5 30 5 7.5,1.3762,0.116152692,1839.51025,-45.045,8.423596153,1.023445004,1.698,0.259867274,7.425,3.015688147,1.39E+11,52.02216675,AM
Ni60Nb20Hf10Ti10,4,Ni Nb Hf Ti,60 20 10 10,1.3374,0.088571907,2031.5,-32.4,8.203072595,1.088899975,1.75,0.21099763,7.8,2.712931993,1.64E+11,27.27636339,AM
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,1.2808,0.034408139,1801.8,-8.96,4.304862367,1.609437912,1.76,0.143387587,7.8,1.720465053,1.62E+11,22.27105745,IM+SS
AlMnSi,3,Al Mn Si,1 1 1,1.311666667,0.089262097,1379.823333,-36.88888889,8.855725171,1.098612289,1.686666667,0.152825245,4.666666667,1.699673171,98666666667,17.98765008,IM
Al4Ca,2,Al Ca,4 1,1.5408,0.141225337,969.776,-12.8,2.88,0.500402424,1.488,0.244,2.8,0.4,64200000000,23.6,IM
Al13Co4,2,Al Co,13 4,1.389411765,0.055258661,1129.83,-13.67474048,2.25888191,0.545594574,1.673529412,0.114529276,4.411764706,2.545095018,1.00E+11,44.11498031,IM
Ti50Ni20Cu25Sn3Be7,5,Ti Ni Cu Sn Be,50 20 25 3 7,1.359295238,0.088739237,1695.138,-20.99229025,9.221529075,1.292961309,1.710190476,0.18184756,6.676190476,3.410055824,1.30E+11,28.95661623,AM
Al5CuTi2,3,Al Cu Ti,5 1 2,1.42025,0.038894433,1238.39,-20.1875,6.907845015,0.900256051,1.62875,0.106704909,4.25,2.586020108,92500000000,22.99456458,IM
