Alloy,No,Component,Fraction,delta,omega,Phase_inshort
Au3In2,2,Au In,3 2,0.038818129,62.09412132,IM
Al45Cr7,2,Al Cr,45 7,0.044380905,93.36877747,IM
Sb3Y5,2,Sb Y,3 5,0.140619088,15.18526313,IM
CuNi2FeCrAl0.4,5,Cu Ni Fe Cr Al,1 2 1 1 0.4,0.03859423,1496.405452,SS
Al2CaSi2,3,Al Ca Si,2 1 2,0.210275543,38.4461542,IM
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,0.07240603,226.3270447,IM+SS
Al0.5NbTa0.8Ti1.5V0.2Zr,6,Al Nb Ta Ti V Zr,0.5 1 0.8 1.5 0.2 1,0.049265412,435.5608033,SS
TaNbVTiAl0.5,5,Ta Nb V Ti Al,1 1 1 1 0.5,0.037375048,444.9226413,SS
CuNbNiTiZr,5,Cu Nb Ni Ti Zr,1 1 1 1 1,0.09258017,149.8224845,AM
Ni65Nb5Cr5Mo5P14B6,6,Ni Nb Cr Mo P B,65 5 5 5 14 6,0.107040659,68.89039088,AM
NbTaTiV,4,Nb Ta Ti V,1 1 1 1,0.039347075,14090.29589,SS
AlB2,2,Al B,1 2,0.281737858,0,IM
B2NiTa,3,B Ni Ta,2 1 1,0.247492994,54.59377065,IM
CuNiCoFeMn,5,Cu Ni Co Fe Mn,1 1 1 1 1,0.031789341,1496.735193,SS
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,0.029966526,2142.62112,SS
Al0.5CoCrFeNi,5,Al Co Cr Fe Ni,0.5 1 1 1 1,0.046023145,307.5554519,SS
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,0.052811306,611.1716551,IM+SS
Cu46Zr42Al7Y5,4,Cu Zr Al Y,46 42 7 5,0.118644069,71.14195395,AM
Mo5Si3,2,Mo Si,5 3,0.079163568,49.24802756,IM
Cu50Zr45Al5,3,Cu Zr Al,50 45 5,0.110454894,58.16880667,AM
Zr41Ti14Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41 14 12.5 10 22.5,0.139805008,76.68350663,AM
CrSi2,2,Cr Si,1 2,0.038189733,35.82972657,IM
Al3Zr4,2,Al Zr,3 4,0.055319516,25.60480839,IM
MoSi2,2,Mo Si,1 2,0.080944358,42.7601125,IM
AlTiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1 1,0.06034157,295.499368,SS
AuCu3,2,Au Cu,1 3,0.053839335,112.6886307,IM
Gd46Al24Co20Y20,4,Gd Al Co Y,36 24 20 20,0.144772104,59.58506845,AM
AlNbTiV,4,Al Nb Ti V,1 1 1 1,0.0394704,166.5146405,SS
Mg6Pd,2,Mg Pd,6 1,0.050412957,22.02766785,IM
Ni3Sn4,2,Ni Sn,3 4,0.126793306,179.3709355,IM
Nd60Al10Ni10Cu16Fe4,5,Nd Al Ni Cu Fe,60 10 10 16 4,0.113487044,62.76929353,AM
SrCaYbMgZn0.5Cu0.5,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 0.5 0.5,0.163688622,171.6808277,AM
Cu0.5Ti0.5CrFeCoNiAl0.5,7,Cu Ti Cr Fe Co Ni Al,0.5 0.5 1 1 1 1 0.5,0.059680175,304.9527927,SS
Al4Li9,2,Al Li,4 9,0.026908604,108.8983474,IM
CrNbTiZr ,4,Cr Nb Ti Zr,1 1 1 1,0.087813408,623.7631477,IM+SS
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,0.040841549,827.0532628,SS
Mg2Ni9Y,3,Mg Ni Y,2 9 1,0.139676664,114.4623009,IM
Cu2In,2,Cu In,2 1,0.096892183,75.07581178,IM
Al4Cu5,2,Al Cu,4 5,0.056833548,813.2300093,IM
CuNiCoFeCrAl0.5V0.2,7,Cu Ni Co Fe Cr Al V,1 1 1 1 1 0.5 0.2,0.041456981,1271.229529,SS
AlCoCrCuFeMoNiTiV,9,Al Co Cr Cu Fe Mo Ni Ti V Zr,1 1 1 1 1 1 1 1 1,0.060852754,365.843119,SS
AlCuMg,3,Al Cu Mg,1 1 1,0.091796511,441.4004453,IM
Cu60Zr20Hf10Ti10,4,Cu Zr Hf Ti,60 20 10 10,0.103280651,106.177956,AM
AlCoCrCuFeNiTiV,8,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,0.063384349,259.2726043,SS
AlCoCrFeNi,5,Al Co Cr Fe Ni,1 1 1 1 1,0.057778896,220.0036308,IM+SS
