Alloy,No,Component,Fraction,delta,omega,Phase_inshort
SrCaYbMgZn,5,Sr Ca Yb Mg Zn,1 1 1 1 1,0.152531711,119.5468891,AM
CoCrMnNiV,5,Co Cr Mn Ni V,1 1 1 1 1,0.033312919,330.9936127,SS
B6Co21V2,3,B Co V,6 21 2,0.152300645,72.85265042,IM
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,0.063547119,141.4808845,AM
AlCrCuFeNi,5,Al Cr Cu Fe Ni,1 1 1 1 1,0.056280862,644.599197,SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,0.099876652,226.8526679,AM+IM
CuNi2FeCrAl0.9,5,Cu Ni Fe Cr Al,1 2 1 1 0.9,0.051473308,487.5954928,SS
Mg65Cu15Zn10Y10,4,Mg Cu Zn Y,65 15 10 10,0.094555407,172.1215242,AM
Al0.5CoCrCuFeNiV0.6 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.6,0.04093038,818.571258,IM+SS
FeCoNiCrCuAl0.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.3,0.034226856,19079.22912,SS
AlCo3CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3 1 0.5 1 1,0.048828481,376.6608424,SS
Zr66Al8Cu12Ni14,4,Zr Al Cu Ni,66 8 12 14,0.099572308,53.47152509,AM
AlCo,2,Al Co,1 1,0.067461796,49.27674513,IM
CoTi,2,Co Ti,1 1,0.077773682,45.90862311,IM
AlCoCuNi,4,Al Co Cu Ni,1 1 1 1,0.058520188,250.7130681,SS
Ti50Ni20Cu25Sn5,4,Ti Ni Cu Sn,50 20 25 5,0.08076088,99.83823017,AM
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,5,Zr Nb Cu Ni Al,58.5 2.8 15.6 12.8 10.3,0.101110103,63.68037122,AM
AlCoCrFeNiTi1.5,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1.5,0.074981813,129.6839229,IM+SS
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,0.067564849,258.8771348,IM+SS
Fe73.5Si13.5B9Nb3Cu,5,Fe Si B Nb Cu,73.5 13.5 9 3 1,0.106166726,67.03512507,SS
NbMoTaW,4,Nb Mo Ta W,1 1 1 1,0.023104619,673.4724644,SS
BiCuMg,3,Bi Cu Mg,1 1 1,0.091859055,1164.036024,IM
Au29Ag5.5Pd2.3Cu26.9Si16.3,5,Au Ag Pd Cu Si,29 5.5 2.3 26.9 16.3,0.085282886,87.42661056,AM
Al2CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,0.064576019,227.8268924,SS
AlBe4Mn,3,Al Be Mn,1 4 1,0.103826936,191.7271356,IM
Ni50Nb50,2,Ni Nb,50 50,0.068411215,51.73188461,AM
Mg65Cu25Gd10,3,Mg Cu Gd,65 25 10,0.105473258,164.7644459,AM
Ni50Nb20Hf5Ti25,4,Ni Nb Hf Ti,50 20 5 25,0.082227802,71.15990099,AM
Au2Pb,2,Au Pb,2 1,0.093996068,390.8917049,IM
Ni57.5Zr35Al7.5,3,Ni Zr Al,57.5 35 7.5,0.120628776,33.24755417,AM
MgNi2,2,Mg Ni,1 2,0.122659618,261.3089571,IM
AlCu2Ti,3,Al Cu Ti,1 2 1,0.062505012,116.2409901,IM
CuCoNiCrAl1.3Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.3 1,0.056863912,457.1882414,SS
Cu2Sb,2,Cu Sb,2 1,0.018924114,123.415096,IM
Al13Ru4,2,Al Ru,13 4,0.028281193,47.91100656,IM
AlMoNbSiTaTiVZr,8,Al Mo Nb Si Ta Ti V Zr,1 1 1 1 1 1 1 1,0.086560415,143.8123197,AM
B6Ni21Sb2,3,B Ni Sb,6 21 2,0.151921601,100.905782,IM
FeCoNiCuAl,5,Fe Co Ni Cu Al,1 1 1 1 1,0.056094722,463.2157394,SS
Ni57.5Zr30Nb5Al7.5,4,Ni Zr Nb Al,57.5 30 5 7.5,0.116152692,41.79459596,AM
Be2Ti,2,Be Ti,2 1,0.127043392,40.26747755,IM
Sr40Al20Co20Y20,4,Sr Al Co Y,40 20 20 20,0.209138042,180.1845858,AM
Gd40Al24Co20Y16,4,Gd Al Co Y,40 24 20 16,0.144754321,57.87307744,AM
Zr66Al8Cu7Ni19,4,Zr Al Cu Ni,66 8 7 19,0.101361866,47.38211153,AM
AuPb2,2,Au Pb,1 2,0.088137956,302.9668202,IM
YGdTbDyLu,5,Y Gd Tb Dy Lu,1 1 1 1 1,0.013719577,0,SS
Al2B6Co20,3,Al B Co,2 6 20,0.161583745,74.8938365,IM
FeNiCrCoAl2.5,5,Fe Ni Cr Co Al,1 1 1 1 2.5 ,0.068416796,142.6306791,SS
Cu2Mg,2,Cu Mg,2 1,0.109884768,289.4977826,IM
CoCrFeNiAl0.25,5,Co Cr Fe Ni Al,1 1 1 1 0.25,0.034780138,411.0766165,SS
