Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Al22Fe3Ti8,3,Al Fe Ti,22 3 8,1.421909091,0.041205297,1257.495152,459.4583256,-23.55922865,4.148763144,0.831831708,3.696969697,1.42456476,92787878788,28.31399437,IM
Mg65Cu25Gd10,3,Mg Cu Gd,65 25 10,1.54025,0.105473258,1097.9925,246.1519108,-5.71,2.798747086,0.856840995,4.35,3.850649296,68050000000,41.59143542,AM
CoTi,2,Co Ti,1 1,1.3565,0.077773682,1854.5,86.5,-28,0,0.693147181,6.5,2.5,1.45E+11,35,IM
Ni60Al10Ni10Cu20,4,Nd Al Ni Cu,60 10 10 20,1.5074,0.111946698,1314.101,179.5635277,-27.52,6.697493262,1.088899975,5.3,3.522782991,72800000000,55.24635735,AM
Mg54Cu26.5Ag8.5Gd11,4,Mg Cu Ag Gd,54 26.5 8.5 11,1.524145,0.110196544,1137.6581,246.2450614,-8.4484,4.059060387,1.137001343,5.26,4.222842644,74080000000,42.5263871,AM
AlMn,2,Al Mn,1 1,1.391,0.029475198,1226.235,292.765,-19,0,0.693147181,5,2,98000000000,22,IM
BCoMo,3,B Co Mo,1 1 1,1.144666667,0.204498906,2337.333333,460.5658356,-28,8.034647195,1.098612289,6,2.449489743,2.43E+11,57.92715732,IM
NiCoFeCrAl0.3,5,Ni Co Fe Cr Al,1 1 1 1 0.3,1.259674419,0.037575522,1806.288605,295.6353907,-7.268793943,3.910516654,1.542613125,7.88372093,1.955425396,1.66E+11,25.85184732,SS
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,1.263230769,0.063547119,1659.439231,368.7261405,-22.57988166,11.82337015,1.925121191,7,2.717464882,1.44E+11,39.40324079,AM
Bi2CaMg2,3,Bi Ca Mg,2 1 2,1.6076,0.124063092,810.08,227.7415851,-26.24,12.07572905,1.054920168,3.2,1.469693846,33800000000,10.47664068,IM
B2MgNi7,3,B Mg Ni,2 1 7,1.1963,0.180114245,1771.5,373.8853434,-14.88,4.722087674,0.801818553,7.8,3.370459909,1.95E+11,74.37909653,IM
Au52Pd2.3Cu29.2Si16.5,4,Au Pd Cu Si,52 2.3 29.2 16.5,1.344886,0.082487017,1412.28059,142.1877227,-20.634916,6.170784807,1.083554817,9.822,2.592357228,1.76E+11,48.35859386,AM
NiCoCrMnV,5,Ni Co Cr Mn V,1 1 1 1 1,1.2824,0.033312919,1875.6,263.6972506,-9.12,4.359192586,1.609437912,7.4,1.854723699,1.60E+11,21.9089023,IM+SS
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,1.304411765,0.042011454,2436.382353,774.8377824,-6.740484429,3.705703804,1.583449225,7.529411765,1.913347761,2.15E+11,53.26047503,IM+SS
CoCrFeNiAl0.4MnV,7,Co Cr Fe Ni Al Mn V,1 1 1 1 0.4 1 1,1.28528125,0.043208028,1806.623125,325.1076637,-10.4296875,5.125768296,1.913566161,7.21875,1.980125864,1.56E+11,28.60117731,IM
Al0.8CrCu1.5FeMnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1.5 1 1 1,1.293428571,0.049563605,1590.703333,366.6113282,-1.74351222,6.112714217,1.772346011,7.920634921,2.596099561,1.43E+11,32.17190535,SS
Au29Ag5.5Pd2.3Cu26.9Si16.3,5,Au Ag Pd Cu Si,29 5.5 2.3 26.9 16.3,1.32625125,0.085282886,1422.516413,159.4997212,-21.87725625,7.590539949,1.344556973,9.545,2.809888788,1.59E+11,49.3096086,AM
Al2CuMg,3,Al Cu Mg,2 1 1,1.43575,0.079581612,1036.9275,185.2878124,-2.25,0.488140605,1.039720771,4.75,3.631459762,84250000000,34.58594368,IM
Cu51.5Zr40.5Al8,3,Cu Zr Al,51.5 40.5 8,1.421945,0.108847255,1635.76915,421.1732235,-25.0561,6.029217639,0.909872932,7.525,3.590177572,1.07E+11,34.16794834,AM
AuSb2,2,Au Sb,1 2,1.367333333,0.03861334,1048.296667,204.37743,-3.555555556,0.20951312,0.636514168,7,2.828427125,1.01E+11,83.9100047,IM
Cu50Zr47Al3,3,Cu Zr Al,50 47 3,1.43537,0.111447554,1707.0491,402.7834702,-24.1616,3.730041616,0.806630942,7.47,3.533992077,1.06E+11,34.43926421,AM
AlCoCrFeNiZr,6,Al Co Cr Fe Ni Zr,1 1 1 1 1 1,1.337,0.102379003,1758.078333,407.9711354,-27.55555556,12.52339375,1.791759469,6.666666667,2.560381916,1.39E+11,47.21997544,AM+IM
CoCrFeNiAlNb0.75,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.75,1.30273913,0.065024412,1823.125217,523.4340257,-18.02646503,7.477701174,1.786723603,6.913043478,2.430119759,1.55E+11,37.08713492,IM+SS
Bi3Pb7,2,Bi Pb,3 7,1.654,0.088659264,583.837,25.62118071,0,0,0.610864302,4.3,0.458257569,41500000000,6.873863542,IM
La55Al25Ni20,3,La Al Ni,55 25 20,1.64065,0.164996524,1235.1175,268.9053205,-37.18,4.797253277,0.997271523,4.4,2.8,70400000000,58.30128644,AM
AlCoCrCu0.5Ni,5,Al Co Cr Cu Ni,1 1 1 0.5 1,1.292666667,0.058053397,1619.634444,435.347403,-10.17283951,6.624275744,1.58109375,7.444444444,2.871743996,1.48E+11,40.57366415,SS
Mg32Al24.5Zn24.5,3,Mg Al Zn,32 24.5 24.5,1.487574074,0.062373018,856.5021605,107.9646516,-2.501905197,1.191731419,1.090269752,5.327160494,4.413545713,61938271605,13.88564022,IM
CoFeNi1.4VMo,5,Co Fe Ni V Mo,1 1 1.4 1 1,1.28062963,0.037059927,2051.333333,433.5892407,-9.163237311,4.353169794,1.599165411,7.777777778,1.892154041,1.84E+11,23.27741683,IM+SS
Ni57.5Zr32Nb3Al7.5,4,Ni Zr Nb Al,57.5 32 3 7.5,1.37968,0.118018115,1827.07025,346.504617,-46.1614,7.564065035,0.982282257,7.405,3.034958814,1.37E+11,52.6866945,AM
Ni57Zr20Ti16Pd7,4,Ni Zr Ti Pd,57 20 16 7,1.36099,0.106215111,1849.0835,159.0551043,-43.12,13.45725043,1.121656603,7.84,2.88,1.47E+11,45.56611802,AM
Al85.8Co9.1Y5.1,3,Al Co Y,85.8 9.1 5.1,1.434399,0.069566942,1053.55426,295.2322661,-12.993552,5.52776373,0.501293639,3.546,1.725654658,83679000000,31.42871233,AM
Si2V,2,Si V,2 1,1.207333333,0.063643515,1852.333333,233.8166423,-42.66666667,2.514157444,0.636514168,4.333333333,0.471404521,1.20E+11,28.28427125,IM
B2CoMo2,3,B Co Mo,2 1 2,1.1234,0.223498447,2451.2,420.4180776,-31.04,7.720965743,1.054920168,5.4,2.244994432,2.56E+11,55.35341001,IM
NiCoFeCrAl0.375,5,Ni Co Fe Cr Al,1 1 1 1 0.375,1.262628571,0.04117134,1791.326,314.2256415,-7.993469388,4.205131874,1.559977599,7.8,2.039607805,1.64E+11,28.15374699,SS
Al2La,2,Al La,2 1,1.581,0.133281354,1019.98,122.3436153,-33.77777778,1.990374643,0.636514168,3,0,60000000000,22.627417,IM
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,1.299888889,0.061121774,1800.104444,577.5786992,-11.85185185,4.966599136,1.58109375,6.666666667,2.449489743,1.56E+11,46.9651828,SS
BNi3,2,B Ni,1 3,1.1395,0.16188101,1883,268.4678752,-18,2.598076211,0.562335145,8.25,3.031088913,2.15E+11,60.62177826,IM
AlNbTiV,4,Al Nb Ti V,1 1 1 1,1.40975,0.0394704,1951.8675,657.2079752,-16.25,7.749495951,1.386294361,4.25,0.829156198,1.29E+11,38.11823711,SS
CuCoNiCrAl2.5Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 2.5 1,1.312666667,0.064784844,1490.459333,447.9384322,-9.777777778,6.753727823,1.709472777,6.866666667,3.073904502,1.36E+11,44.15125517,SS
Ni60Nb20Hf10Ti10,4,Ni Nb Hf Ti,60 20 10 10,1.3374,0.088571907,2031.5,426.4385653,-32.4,8.203072595,1.088899975,7.8,2.712931993,1.64E+11,27.27636339,AM
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,1.3257,0.062715627,1635.471,426.9517463,-15.44,8.589318017,2.163955657,6.6,2.727636339,1.37E+11,37.83331865,SS
Au9Sn,2,Au Sn,9 1,1.4598,0.036580353,1254.105,249.675,-3.6,1.92,0.325082973,10.3,2.1,2.04E+11,48.6,IM
Cr2Mn11,2,Cr Mn,2 11,1.334461538,0.027307585,1620.692308,238.4896013,1.041420118,0.345856783,0.429323022,6.846153846,0.360801212,1.26E+11,14.43204849,IM
MoSi2,2,Mo Si,1 2,1.223,0.080944358,2090,569.9280656,-31.11111111,1.833239803,0.636514168,4.666666667,0.942809042,1.43E+11,61.2825877,IM
Ni57Zr20Ti13Pd10,4,Ni Zr Ti Pd,57 20 13 10,1.35838,0.105634554,1845.695,158.2619892,-43.378,14.71108738,1.137782583,8.02,2.821276307,1.49E+11,45.42687653,AM
Al3In,2,Al In,3 1,1.464,0.037859034,807.54,218.1171582,5.25,0.757772228,0.562335145,3,0,65332500000,18.47665199,IM
BiCuMg,3,Bi Cu Mg,1 1 1,1.436333333,0.091859055,941.8233333,332.2011887,0.888888889,6.081070947,1.098612289,6,3.741657387,72000000000,48.42175819,IM
AuPb2,2,Au Pb,1 2,1.647333333,0.088137956,846.1833333,347.2931386,1.777777778,0.10475656,0.636514168,6.333333333,3.299831646,1.04E+11,82.02438662,IM
PtAl2,2,Pt Al,1 2,1.417,0.014970503,1302.78,522.2832107,-39.11111111,2.304644324,0.636514168,5.333333333,3.299831646,1.27E+11,72.5962962,IM
Cu46Zr42Al7Y5,4,Cu Zr Al Y,46 42 7 5,1.45148,0.118644069,1673.6271,414.412124,-24.8776,7.394921373,1.057488298,7.1,3.612478374,1.02E+11,36.12964526,AM
ZrTi,2,Zr Ti,50 50,1.5325,0.046003263,2034.5,93.5,0,0,0.693147181,4,0,90416666667,19.58333333,AM
NbMoTaW,4,Nb Mo Ta W,1 1 1 1,1.39725,0.023104619,3157.75,367.7297751,-6.5,2.365110991,1.386294361,5.5,0.5,2.28E+11,52.14163404,SS
AlNi6Ta,3,Al Ni Ta,1 6 1,1.29225,0.061991805,1823.93375,612.1167827,-20.3125,2.714672319,0.73562194,8.5,2.645751311,1.70E+11,35.94092375,IM
B2CoNb,3,B Co Nb,2 1 1,1.08,0.247692541,2303.5,350.0296416,-45.25,9.573115023,1.039720771,5,2.449489743,2.48E+11,72.5861557,IM
TiVCrCuFeMnCoNi,8,Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1,1.299125,0.055022828,1810.97125,271.7683817,-8.125,7.262852294,2.079441542,7.5,2.291287847,1.53E+11,24.87468593,IM+SS
Sb3Y5,2,Sb Y,3 5,1.625,0.140619088,1463.2925,433.3965189,-63.75,2.057522403,0.661563238,3.75,0.968245837,41375000000,0.484122918,IM
Cu60.3Zr37.2Al2.5,3,Cu Zr Al,60.3 37.2 2.5,1.40275,0.111180044,1633.68806,386.0836289,-22.334172,3.365453925,0.7650988,8.196,3.459130527,1.13E+11,33.69168196,AM
AuCu3,2,Au Cu,1 3,1.319,0.053839335,1352.66,8.850779627,-6.75,0.974278579,0.562335145,11,0,1.60E+11,34.64101615,IM
Cu0.5Ti0.5CrFeCoNiAl0.5,7,Cu Ti Cr Fe Co Ni Al,0.5 0.5 1 1 1 1 0.5,1.286,0.059680175,1746.021818,335.1703134,-10.84297521,7.979873413,1.893788232,7.636363636,2.459590774,1.55E+11,32.32070697,SS
MgNi2,2,Mg Ni,1 2,1.364333333,0.122659618,1459.666667,379.4806392,-3.555555556,0.20951312,0.636514168,7.333333333,3.771236166,1.35E+11,63.63961031,IM
Ni60Nb10Hf5Ti25,4,Ni Nb Hf Ti,60 10 5 25,1.3349,0.084158165,1922.35,329.0637134,-32.96,7.386904088,1.033114088,7.7,2.83019434,1.58E+11,31.55946768,AM
Ti50Ni20Cu25Sn3Be7,5,Ti Ni Cu Sn Be,50 20 25 3 7,1.359295238,0.088739237,1695.138,312.6839823,-20.99229025,9.221529075,1.292961309,6.676190476,3.410055824,1.30E+11,28.95661623,AM
Zr42.63Ti12.37Cu11.25Ni10Be23.75,5,Zr Ti Cu Ni Be,42.63 12.37 11.25 10 23.75,1.4004833,0.142199464,1843.317225,287.4816279,-36.140275,13.33804195,1.439464421,4.9125,3.038065791,1.08E+11,36.57506861,AM
CuNbNiTiZr,5,Cu Nb Ni Ti Zr,1 1 1 1 1,1.4036,0.09258017,1980.954,461.9512144,-21.28,12.72619975,1.609437912,6.8,3.059411708,1.34E+11,40.03470716,AM
Zr46.75Ti8.25Cu7.5Ni10Be27.5,5,Zr Ti Cu Ni Be,46.75 8.25 7.5 10 27.5,1.4006675,0.14876022,1858.60525,282.0054612,-38.92175,12.65995692,1.340849545,4.575,2.836260743,1.06E+11,37.04026754,AM
FeCoNiCrCuAl1.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 1.5,1.294307692,0.058925035,1576.15,420.0550125,-7.053254438,6.628184498,1.778233306,7.461538462,2.8720238,1.45E+11,40.12701727,SS
Al0.5CoCrCuFeNiTi1.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.8,1.316794521,0.072086115,1754.15137,318.8536801,-15.86038656,9.765559584,1.890416484,7.219178082,2.741095548,1.46E+11,32.9025013,IM+SS
Cu60Zr30Ti10,3,Cu Zr Ti,60 30 10,1.3939,0.105535828,1647.162,358.1120907,-18.72,4.413521043,0.897945725,8.2,3.42928564,1.16E+11,31.00235206,AM
Gd36Al24Co20Nd20,4,Gd Al Co Nd,36 24 20 20,1.57024,0.135264301,1407.3928,306.5419455,-27.5584,12.9397767,1.354077539,4.2,2.4,74320000000,55.38427214,AM
Zr38.5Ti16.5Ni9.75Cu15.15Be20,5,Zr Ti Ni Cu Be,38.5 16.5 9.75 15.15 20,1.400487487,0.135289628,1827.55471,292.7136493,-33.2217102,13.37488797,1.500050585,5.246746747,3.192313862,1.10E+11,35.85947473,AM
CoZn,2,Co Zn,1 1,1.323,0.054421769,1230.34,537.66,-5,0,0.693147181,10.5,1.5,1.25E+11,55,IM
B6CaNi11,3,B Ca Ni,6 1 11,1.144555556,0.246821208,1900.611111,345.2749531,-22.13580247,2.913089698,0.827738157,7.222222222,3.48895966,2.18E+11,81.20833215,IM
HfW2,2,Hf W,1 2,1.437333333,0.069202009,3298.666667,560.4999752,-5.333333333,0.314269681,0.636514168,5.333333333,0.942809042,2.43E+11,94.28090416,IM
Ni39.8Cu5.97Ti15.92Zr29.86Al9.95Si0.5,6,Ni Cu Ti Zr Al Si,39.8 5.97 15.92 29.86 9.95 0.5,1.403784118,0.1084412,1778.966798,347.7558731,-43.72846432,14.14411443,1.435963506,6.653333333,3.157906148,1.24E+11,48.21048163,AM
B6Ni21Sb2,3,B Ni Sb,6 21 2,1.163655172,0.151921601,1799.433103,348.2517548,-13.26991677,6.598398972,0.744129541,8.206896552,2.940552497,1.99E+11,70.64217076,IM
CdSn10,2,Cd Sn,1 10,1.615272727,0.009254752,513.1836364,25.62594824,0,0,0.304636097,4.727272727,2.299838298,56545454545,4.599676597,IM
GdHoLaTbY,5,Gd Ho La Tb Y,1 1 1 1 1,1.8058,0.021582588,1590.8,213.2945381,0,0,1.609437912,3,4.44E-16,37140000000,4.685979087,SS
CoCrCuFeNiTi2,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 2,1.312714286,0.07240603,1818.11,234.143597,-14.04081633,9.481291617,1.747868097,7.428571429,2.610809555,1.50E+11,28.28427125,AM+IM
Cu59.6Zr36.9Al3.5,3,Cu Zr Al,59.6 36.9 3.5,1.403315,0.110629231,1627.13437,390.7105356,-22.589488,3.959848238,0.793650698,8.137,3.481986646,1.12E+11,33.73291929,AM
Cr3Si,2,Cr Si,3 1,1.225,0.033934057,2056.75,213.475262,-27.75,4.005367493,0.562335145,5.5,0.866025404,1.45E+11,25.98076211,IM
Gd50Al24Co20Y6,4,Gd Al Co Y,50 24 20 6,1.6025,0.144709828,1478.5728,316.2233908,-34.4128,8.17905342,1.179773741,4.2,2.4,75700000000,54.39310618,AM
CoCrFeNiNb0.65,5,Co Cr Fe Ni Nb,1 1 1 1 0.65,1.272225806,0.049750744,1994.516129,347.4683126,-12.15400624,6.571834858,1.597084186,7.795698925,1.775333619,1.72E+11,7.73894805,IM+SS
Mg65Cu15Zn10Y10,4,Mg Cu Zn Y,65 15 10 10,1.55205,0.094555407,1052.7835,305.8632314,-6.27,3.464426468,1.025093912,4.45,4.030818775,61350000000,33.91942659,AM
Zr66Al9Cu16Ni9,4,Zr Al Cu Ni,66 9 16 9,1.50348,0.096609903,1861.2555,408.1534332,-32.352,8.234657887,1.000883437,5.57,2.950440645,92190000000,37.20621229,AM
AlCrCuFeMnNi,6,Al Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.299333333,0.053876835,1588.206667,388.5805617,-5.111111111,6.358785763,1.791759469,7.5,2.62995564,1.41E+11,35.09510887,SS
MgNi4Y,3,Mg Ni Y,1 4 1,1.397833333,0.15912221,1605.666667,306.3966202,-16.22222222,6.615544732,0.867563228,7.5,3.547299442,1.34E+11,64.59274125,IM
SmFe6Ti6N,4,Sm Fe Ti N,1 6 6 1,1.341285714,0.168733208,1708.585714,480.0970008,-48.81632653,33.98722387,1.103263499,5.714285714,2.015247997,1.23E+11,51.1446528,IM
Al5Hf4Ni16,3,Al Hf Ni,5 4 16,1.33632,0.09582442,1693.574,471.0794781,-33.4592,5.025943478,0.900724362,7.64,3.160759402,1.48E+11,43.85430424,IM
CuNi2FeCrAl1.5,5,Cu Ni Fe Cr Al,1 2 1 1 1.5,1.293538462,0.059313193,1569.996154,417.484451,-8.047337278,6.771829357,1.56495725,7.615384615,2.975243016,1.45E+11,40.12701727,SS
Ca65Mg15Zn20,3,Ca Mg Zn,65 15 20,1.80355,0.134526416,1001.736,168.439018,-14.26,4.195021692,0.886464476,4,4,31800000000,21.45600149,AM
Cu2Sb,2,Cu Sb,2 1,1.295333333,0.018924114,1206.44,214.0129384,6.222222222,0.366647961,0.636514168,9,2.828427125,1.07E+11,46.19764304,IM
AlTiVYZr,5,Al Ti V Y Zr,1 1 1 1 1,1.523,0.109513125,1796.894,452.7650615,-14.88,13.56092032,1.609437912,3.8,0.748331477,91566666667,40.62533419,AM+IM
Ni57.5Zr24Nb11Al7.5,4,Ni Zr Nb Al,57.5 24 11 7.5,1.36576,0.109887013,1876.83025,422.4791601,-41.7726,9.638342766,1.097774715,7.485,2.956311046,1.45E+11,49.50107743,AM
AlMo0.5NbTa0.5TiZr ,6,Al Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1 ,1.4645,0.050410248,2169.094,749.7126565,-16.84,10.56443543,1.748067349,4.3,0.9,1.28E+11,56.30871257,IM+SS
Mg2Ni9Y,3,Mg Ni Y,2 9 1,1.3515,0.139676664,1599.75,303.2757615,-10.08333333,5.674648008,0.721463687,8.083333333,3.328120925,1.46E+11,59.04159315,IM
MoNbTiVZr,5,Mo Nb Ti V Zr,1 1 1 1 1,1.4346,0.068534137,2379.6,373.6814686,-2.72,2.102417656,1.609437912,4.8,0.748331477,1.48E+11,54.31492531,SS
Ce70Al10Ni10Cu10,4,Ce Al Ni Cu,70 10 10 10,1.6731,0.141207767,1151.624,216.2864397,-25.12,5.270318396,0.940447989,4.5,3.008321791,55000000000,55.60035971,AM
Mg65Cu15Ag5Pd5Gd10,5,Mg Cu Ag Pd Gd,65 15 5 5 10,1.55345,0.093637487,1115.3645,284.8286036,-13.24,8.15576802,1.09440863,4.3,3.769615365,68050000000,43.47237629,AM
Al0.5NbTa0.8Ti1.5V0.2Zr,6,Al Nb Ta Ti V Zr,0.5 1 0.8 1.5 0.2 1,1.46964,0.049265412,2264.967,654.1848156,-8.6176,8.527177148,1.657193583,4.3,0.640312424,1.27E+11,47.36782781,SS
Be3Nb,2,Be Nb,3 1,1.20325,0.108320651,1857.5,515.2851153,-18.75,2.706329387,0.562335145,2.75,1.299038106,1.40E+11,17.32050808,IM
TiZrNbMoV1.5,5,Ti Zr Nb Mo V,1 1 1 1 1.5,1.423818182,0.070059046,2361.727273,360.7462193,-2.710743802,1.962769907,1.594166699,4.818181818,0.715818898,1.49E+11,51.89886064,SS
FeCrMnNiCo,5,Fe Cr Mn Ni Co,1 1 1 1 1,1.2674,0.032694636,1801.2,214.3281596,-4.16,2.197598689,1.609437912,8,1.414213562,1.62E+11,22.27105745,SS
YGdTbDyLu,5,Y Gd Tb Dy Lu,1 1 1 1 1,1.7786,0.013719577,1727,126.5811992,0,0,1.609437912,3,4.44E-16,41340000000,3.541525095,SS
CuNi2FeCrAl0.4,5,Cu Ni Fe Cr Al,1 2 1 1 0.4,1.265333333,0.03859423,1699.658889,332.3421488,-1.700960219,5.609742251,1.497551163,8.555555556,2.330686329,1.59E+11,27.62178421,SS
Sr36Al24Co20Y20,4,Sr Al Co Y,36 24 20 20,1.729,0.210408066,1315.4328,384.8499013,-12.9088,11.82112013,1.354077539,3.84,2.618090908,66721818182,61.65684605,AM
Al0.5CoCrCuFeNiTi1.6 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.6,1.312704225,0.070864333,1748.888028,321.7458568,-15.00495933,9.650810617,1.902991655,7.309859155,2.724906249,1.47E+11,32.79446734,IM+SS
Al0.3CoCrFeNi ,5,Al Co Cr Fe Ni,0.3 1 1 1 1,1.259674419,0.037575522,1806.288605,295.6353907,-7.268793943,3.910516654,1.542613125,7.88372093,1.955425396,1.66E+11,25.85184732,IM+SS
CoCrCuFeMn,5,Co Cr Cu Fe Mn,1 1 1 1 1,1.2738,0.031470329,1727.154,280.5497012,4.16,3.840499967,1.609437912,8.2,1.720465053,1.54E+11,21.54065923,SS
CaCu5,2,Ca Cu,1 5,1.394333333,0.186561732,1317.308333,90.47503715,-7.222222222,2.153250645,0.450561209,9.5,3.354101966,1.20E+11,45.83939354,IM
Cu54Zr27Ti9Be10,4,Cu Zr Ti Be,54 27 9 10,1.36731,0.117564223,1638.4458,340.7397714,-20.8872,7.458442787,1.133234126,7.58,3.747479153,1.18E+11,29.69927398,AM
Al3Yb,2,Al Yb,3 1,1.499,0.077416547,973.1025,68.64550363,-15,2.165063509,0.562335145,3,0,64750000000,19.48557159,IM
CoCuFeNiV,5,Co Cu Fe Ni V,1 1 1 1 1,1.2664,0.022034208,1769.554,262.2786985,-2.24,5.683154054,1.609437912,8.6,2.059126028,1.66E+11,14.96662955,SS
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,1.2902,0.042149755,1944.4,486.2610821,-4,2.505992817,1.609437912,8,1.414213562,1.76E+11,34.98571137,IM+SS
Gd60Cu20Ni10Al10,4,Gd Cu Ni Al,60 20 10 10,1.604,0.153112181,1489.301,213.6890967,-28,6.89492567,1.088899975,5.3,3.522782991,76400000000,52.60266153,AM
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,1.282833333,0.052811306,1629.706667,392.2524055,-4.777777778,6.312506366,1.791759469,7.833333333,2.671869924,1.51E+11,36.21693895,IM+SS
Cu52.5Zr42.5Al5,3,Cu Zr Al,52.5 42.5 5,1.423825,0.110629219,1663.90275,409.1666181,-24.3725,4.790232018,0.851732144,7.625,3.554486601,1.07E+11,34.28590753,AM
Cu54Zr42.5Al3.5,3,Cu Zr Al,54 42.5 3.5,1.421515,0.111504929,1670.26725,400.9733076,-23.8076,4.005775791,0.813732865,7.745,3.531285177,1.08E+11,34.28915069,AM
Pd77.5Cu6Si16.5,3,Pd Cu Si,77.5 6 16.5,1.33255,0.062310989,1776.55995,117.903619,-31.4889,9.297977809,0.663644754,9.07,2.266075903,1.64E+11,30.14365605,AM
Ag5Sn,2,Ag Sn,5 1,1.474166667,0.044241028,1113.288333,271.9990356,-1.666666667,0.496903995,0.450561209,9.833333333,2.608745974,93000000000,15.65247584,IM
Cu60Zr20Hf10Ti10,4,Cu Zr Hf Ti,60 20 10 10,1.3914,0.103280651,1684.962,421.2542965,-17.28,4.79315512,1.088899975,8.2,3.42928564,1.20E+11,27.26617766,AM
AlCoCrFeNiTi1.5,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1.5,1.324923077,0.074981813,1743.38,374.2863738,-23.90532544,9.651858062,1.778233306,6.461538462,2.560510304,1.43E+11,38.98353468,IM+SS
CaAl2Zn2,3,Ca Al Zn,1 2 2,1.526,0.14784248,873.46,161.8065441,-12.8,6.43341278,1.054920168,6.4,4.586937976,61800000000,22.56014184,IM
AlB12,2,Al B,1 12,0.867076923,0.188079328,2239.19,376.9288967,0,0,0.271189373,3,0,3.01E+11,65.01852262,IM
MgZn2,2,Mg Zn,1 2,1.463666667,0.066346617,769.4533333,108.5738892,-3.555555556,0.20951312,0.636514168,8.666666667,4.714045208,61666666667,11.78511302,IM
B6Ni21Ta2,3,B Ni Ta,6 21 2,1.170551724,0.157962479,1964,438.2922974,-23.25802616,3.900508322,0.744129541,8.206896552,2.940552497,2.10E+11,56.23121962,IM
TaNbVTiAl0.5,5,Ta Nb V Ti Al,1 1 1 1 0.5,1.411777778,0.037375048,2362.385556,705.7475645,-8.395061728,6.213232571,1.58109375,4.555555556,0.684934889,1.51E+11,40.37601048,SS
B6Co2Nb2,3,B Co Nb,6 2 2,1.028,0.253785553,2312.4,313.5816321,-41.44,8.138784184,0.950270539,4.6,2.332380758,2.62E+11,71.10555534,IM
AlCoCrFeNb0.25Ni,6,Al Co Cr Fe Nb Ni,1 1 1 1 0.25 1,1.290714286,0.060986832,1734.851429,458.7655226,-14.65759637,6.407686034,1.724242094,7.095238095,2.467015971,1.54E+11,38.52519275,IM+SS
Ce65Al10Ni10Cu10Nb5,5,Ce Al Ni Cu Nb,65 10 10 10 5,1.6533,0.144722268,1235.574,408.8367668,-19.86,11.5108445,1.120571037,4.6,2.989983278,62400000000,60.36091451,AM
BCr2,2,B Cr,1 2,1.106,0.182850397,2236,79.19595949,-27.55555556,1.623726683,0.636514168,5,1.414213562,2.13E+11,75.42472333,IM
Co0.5Cr0.5Fe0.5NiAlMnV,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 1,1.311727273,0.052998247,1680.54,421.2518006,-16.26446281,6.612621834,1.893788232,6.636363636,2.3845231,1.44E+11,37.81730768,SS
Al13Co4,2,Al Co,13 4,1.389411765,0.055258661,1129.83,353.9930242,-13.67474048,2.25888191,0.545594574,4.411764706,2.545095018,1.00E+11,44.11498031,IM
CoCrCuFeNiTi,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.287833333,0.061173418,1797.628333,247.0302357,-8.444444444,8.579811695,1.791759469,8,2.380476143,1.57E+11,24.94438258,IM+SS
Al12Mg17,2,Al Mg,12 17,1.531068966,0.054363704,927.3324138,5.156603838,-1.940546968,0.02928135,0.678209394,2.413793103,0.492512305,57827586207,15.26788147,IM
Al11Ce3,2,Al Ce,11 3,1.516214286,0.106355732,962.9407143,56.43212148,-25.59183673,5.0913908,0.519579839,3,0,64428571429,22.15759878,IM
Cu17Sn3,2,Cu Sn,17 3,1.3293,0.091866716,1229.8665,304.4712303,3.57,1.224754975,0.422709088,9.95,2.49949995,1.28E+11,29.27985656,IM
Ti40Zr25Ni3Cu12Be20,5,Ti Zr Ni Cu Be,40 25 3 12 20,1.40189,0.121747782,1835.1724,262.2115692,-25.8764,11.13837134,1.394605827,4.62,2.71580559,1.10E+11,26.8048231,AM
