Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
NbTaTiV,4,Nb Ta Ti V,1 1 1 1,1.40925,0.039347075,2541,522.6963746,-0.25,0.824431622,1.386294361,4.75,0.433012702,1.60E+11,32.40370349,SS
Al6Mn,2,Al Mn,6 1,1.420285714,0.020202993,1017.117143,204.8928184,-9.306122449,3.392150518,0.410116318,3.571428571,1.399708424,82285714286,15.39679267,IM
CuDy,2,Cu Dy,1 1,1.526,0.162516383,1521.385,163.615,-22,0,0.693147181,7,4,90500000000,49.5,IM
Zr66Al8Cu7Ni19,4,Zr Al Cu Ni,66 8 7 19,1.49874,0.101361866,1902.5215,367.7490957,-39.2688,7.932141274,0.977985616,5.55,2.819131072,96830000000,43.88039919,AM
Dy4Sb3,2,Dy Sb,4 3,1.583714286,0.138739051,1350.191429,386.6036377,-65.63265306,0.676661248,0.682908105,3.857142857,0.989743319,41428571429,0.494871659,IM
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,1.276461538,0.040357597,1768.385385,364.1482893,-5.25443787,6.171554345,1.925121191,7.769230769,2.454316328,1.58E+11,27.19119245,IM+SS
Co5Cr2Mo3,3,Co Cr Mo,5 2 3,1.2842,0.04017462,2188.8,488.4581456,-4.6,1.153082824,1.029653014,7.5,1.5,1.91E+11,26.62705391,IM
Co3Sn2,2,Co Sn,3 2,1.3986,0.129252355,1262.832,618.7019172,0,0,0.673011667,7,2.449489743,1.31E+11,59.76754972,IM
Ni3Sn4,2,Ni Sn,3 4,1.459714286,0.126793306,1029.188571,605.1884496,-3.918367347,0.040397686,0.682908105,6.571428571,2.969229956,1.10E+11,60.37434244,IM
Al11Sm3,2,Al Sm,11 3,1.513,0.102513676,1021.687143,168.9229679,-25.59183673,5.0913908,0.519579839,3,0,67857142857,15.59238433,IM
B6Co20In3,3,B Co In,6 20 3,1.193793103,0.177770874,1749.560345,504.5065388,-10.15933413,8.081578298,0.81691517,7.137931034,2.775808524,1.94E+11,78.04050698,IM
Zr44Ti11Cu10Ni10Be25,5,Zr Ti Cu Ni Be,44 11 10 10 25,1.40054,0.144418198,1848.407,285.7547369,-37.068,13.19042541,1.411122292,4.8,2.976575213,1.08E+11,36.74213446,AM
AlCoCrCu0.5FeNi0.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 0.5,1.287,0.056845453,1647.071,419.4898168,-7.28,6.093450911,1.748067349,7.3,2.60959767,1.49E+11,38.4,SS
